puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate
1HRw370vlgfaXiSQN0R6vJjI4Ikx1lMArSgFjDn9ORO5fDG2R9jo82gDf-X2x-7EOzVVYuGMR1Fsfw,826,229,187,False,False,True,False,Grandmaster,ZekenZ#byou,416,55.05
1objFp_S2YngHf2IFnSMpMkS_kSLdm1VgeZGEjKoNzKQd5pRRtl-rL7OQYekeEmnqPUFlsWId5XM4Q,825,489,414,False,False,True,False,Grandmaster,Gettey#9904,903,54.15
q__5BuD8iTMnocQJE4m-3UtkpuK6mpEgay6-Z0mJelYie6k84RVqHFS_FtsYl-4deKrkynXjTh5g1g,810,223,161,False,False,True,False,Grandmaster,sayy35#1622,384,58.07
Y1efqQgQvmukRSTtAEsx8zD-pFbzZK0Bpf4l6i0yshm_wm2m8ANJa17Y7YblLXpXrl4BHkD8aag5gQ,804,199,148,False,False,False,False,Grandmaster,HYUNFIRST#1st,347,57.35
1ezqWqBuIzJs9ejlxu7wjW3z9XhyCL-4c6ZN2ANKHfgLOSEFNpAIYF3IKyvrYrMIVv9nBUKrUyqaPg,802,202,144,False,False,True,False,Grandmaster,Reso#RESO,346,58.38
3oc5yr2KLCFdcBY1WbGNSYUB727S2gdBLHyDUKmg73qPaQgDtCMxDpSZ82H4jHl5fi6pYyPh0EUnzg,800,196,173,True,False,False,False,Grandmaster,popcornpengu#rtyq,369,53.12
nClYpBkEoKoyaWu35rroZ0k2qUb218c04y2noYMlcaDJqDNMwdKZCOII-dCa-CCBYZVgFLi1HtHlhg,798,127,100,False,False,True,False,Grandmaster,Sumthing#Spoky,227,55.95
66fZQiiikyv758UcQ8ssrpMtu13vOG_SYAuTu7V4CaDxkKVrcrSL6gs-U-fqZCNUh2Ih04VKEcGX9w,797,184,112,False,False,True,False,Grandmaster,Skyli#Van,296,62.16
z6tlL6R5dsRt5lsqIq5ZrGuIEJdv-KHvNoPMJqLEX3MvgK6Dc6zU9YXCr_G4NeGzL9VAmEcbuSfXdw,795,249,185,False,False,True,False,Grandmaster,CutieRolling#4557,434,57.37
VmdifJVSkgE8IVUXurhU2yprVnzvQYfTRnHHNiy3Nx4ybJQa9nQgQ0bKPiJiFJ_nHKxboHVjMrK05A,789,355,345,False,False,True,True,Grandmaster,squidwirtz#6767,700,50.71
1i8zoOwOKUu_TmFvOrHJ0Jo2fwyIbnh3IAUqR18J_YByChL5FF9P57csjpzb7x_kQ118Gvu0iN2kYg,789,141,99,False,False,True,False,Grandmaster,meksoma#6259,240,58.75
YNt4zeT39dltRxkjyyVAZn-ekbmwhMPdZPLMd2R_UX9Ak_drm0NPVWrK-aJ2ZcUE9z0Z1TgzK4yq4A,788,254,186,False,False,True,True,Grandmaster,Im Ace#Ace97,440,57.73
gJoasJ7UnR_B8BdngMzKRcO5EWmfBSAnwz-Ky71auKsdaJ3EVl6ZzFynN9TEM9fCH95SFP9AXkibYQ,787,171,147,False,False,True,False,Grandmaster,iZero#Zero,318,53.77
_D6b4hb7ie5JV9ecBnAMabxYdi2buLjyjkj0KRwdhZWOca1NAYo44XmMypIA3BArweEanb0W162G3w,783,276,235,False,False,True,False,Grandmaster,MithrandirTFT#TFT,511,54.01
1L1T3J2UDNhOyFWrjRxBHZgwBhRC0fXecgUtqCCfOYYyJauUFgUaai9YZqTGuXWw4bR5ZwWgdomH-g,782,316,290,False,False,True,False,Grandmaster,Nerby#2761,606,52.15
021wGQuNT1BGJA1cmsG97DATkAbOq-k6ynPjBMdWVrxs7n55Ipt3eVcahbDIj50855auUQy_-xISxA,780,300,222,False,False,True,False,Grandmaster,Atjedia#SG2,522,57.47
nWT4SDeDYc7k34KS8eO2ocpxzE_Asan9ennmKjMt86rRlvWWvX3RWNMap3kvGiMCR6_t5x7NWE0ktw,780,291,227,False,False,True,False,Grandmaster,holeecow#2590,518,56.18
ryl_2ZT2RJgzoooGsZVb1RNFZTfUbZuuMGp358Nk_3qe3UIlFfJh6GQIBpB5Db3EOGDrdSSBaCwD9Q,780,259,216,True,False,False,False,Grandmaster,kahz#3770,475,54.53
4ZXcG9aqORsTlYxj8oCRrHbpyv_af-4jRLyk1i6UN-jPS5NWpciQjCsMrSTydr11FcxwJtTrmz-nlg,773,256,209,False,False,True,False,Grandmaster,Swipers#SG333,465,55.05
VBWkY2fJ2IMbowX2PVIdBryoDFFkd1dNGk1zzeFgQA0-oiQFbK4Lf9mBdY7XVF79-8hA7dRqmFRuEg,770,241,195,False,False,True,False,Grandmaster,fruzzle#free,436,55.28
rAjhCnMW7JS1CJFC20ue4tIpN2t5wNRFUz5KJGyWCKLtPgqUoc3XTwZhbYinHlfIKhiwnStdrvtQew,758,211,182,False,False,True,False,Grandmaster,cjwei98#cjw98,393,53.69
RvaxFRLDYDlVmanGuyYIiqkstxpMchJ84TdRvttg-Aa_liQ2sxoWCw1dphH9QMFQb4zVi2GtkrgezA,753,134,85,False,False,True,False,Grandmaster,Ozzie#LOL,219,61.19
t0eFvyzkg9zPjyPS-8UjrvqiW9rycXgnpTzuRPnH4z4mrFDKk1SiA4QA4PeTBgjJZEA5rY5J54HCPA,743,206,161,False,False,True,True,Grandmaster,Intensify#6969,367,56.13
gXwaib18bMYy7JQjdO4hJg5QJAedSM7QjFU3-CCfBaCjL_fBk-Dp_uiRYgQLou_LiOUkF1F4KvZc_Q,733,380,334,False,False,True,False,Grandmaster,Dubu#2227,714,53.22
4_b8boYmWakQgXG1mmlE87u6rGm-v-AlgSWx1UM20-vh5AbZp8uVAJNMfMjHFbg9r7d9wYe2Xv_xwg,730,273,227,False,False,True,False,Grandmaster,MWizKH#MWKH,500,54.6
g0lkgCU5id84s4F7Eff3MhJ5u038_w_XGgpKckgh7Z8TbO-FdGK0UkwJXUPyuuM1ngpZDSvF4sYirQ,726,213,160,False,False,False,False,Grandmaster,Oraka#nye,373,57.1
AQIA8tV6G5ssiTzqXCnbZx_yRxQZ6cPGPGAvgomoj8Z3XDoHyHGSwT9J-zQWC2EwyZhvT1Ey46r65w,712,244,203,False,False,True,False,Grandmaster,Tukang Parkir#Axh,447,54.59
