puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate
WQEBRvBDn0Baos2UGk9vzo30O0AdeE_FcaVL1t2tlGxMq8yZFi9zQZ8K572SKY6vUSGjG5WHXPQVjg,1253,323,236,False,False,False,True,Challenger,Aofnakup#1991,559,57.78
SAempvmqOFivF3G5RapsA3hF60xv1MpR_h_SlShDoDWSbMrJgF4YmuhqFMuAjKNgJ-7WrK0ZLSDr2A,1246,292,199,False,False,True,True,Challenger,potatodoggy#SG3,491,59.47
FqpN8LIo2sGfBYHyCixaW8k6q6qp5LRmKUwfqkTgDfTEp3_VEOYwj9voWHgVrX8jY0Jwuf0KJzZbUQ,1244,342,255,False,False,True,False,Challenger,memebuster99#6071,597,57.29
_BkRJq3tdLec-ryXmv8HYkIQcruPrpwHMMJqmZ7FM50A8l3w_YpZ2YhTnO04LUf3unJwiBa-Aijr2w,1234,411,304,False,False,True,False,Challenger,Maha#YAWA,715,57.48
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1228,202,132,False,False,True,True,Challenger,SunRise#Shiny,334,60.48
OX9t0WAW97FLFOcr1l-4L2AlRtPZ7eerU29E7hosR8iiyRxhzVXJrmRuIbUqIRywXu1MnnxAVfmZaw,1227,292,199,True,False,False,False,Challenger,Kaiser55#9050,491,59.47
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1225,252,169,False,False,True,False,Challenger,mashimomo#971,421,59.86
ofY_0GTEjP_FHH1VANbLgMtKmKDIl5NmBnnT8F0IwHf0gk8FaJyMueEjqeuw4TOGmuwGmWQ-BVrY0Q,1223,284,222,False,False,False,False,Challenger,jail#SG2,506,56.13
gDFwB7VpJ0KklJRh2W6VtxNTDEv4Y_HQNJAoOa2KwQkTu3b0LaUwhVXQn6elrV6LSV8xsH1IfIONRw,1222,126,58,False,False,True,False,Challenger,iheartristan#duck,184,68.48
SIwigk7wBNQ2UBiACAzxsa1oxiG3r-FGM8hfjlIdl6-ZzbICDQfjHgdjOoZ9NFhwglq5mgaCQpf8jg,1206,318,251,False,False,True,True,Challenger,Bwakies#4638,569,55.89
P7Bg4HqvX4u_8RmLlOzZ-HzskvtKnwvrXX8f9H0vSTw4--GvP4tdsKScaQpcyGv9ZkfgJTAGENnhYQ,1203,350,295,False,False,True,False,Challenger,Reverie#byou,645,54.26
4H1KNELz5F-xjjUu17QOu-3Yu6-f3-hIFbDoMX6hgYHvQORieMew_ikGjMGn5iPKk3mNHTlmg7ZoZA,1198,366,292,False,False,True,False,Challenger,hanni pham#raph,658,55.62
ZCAjLRiUB-pd3pusrD5tD8Teb-dQTuFXeTteIJdR3td7eitJvfzKrrQqc5x_mN6H0wEoS7k43WM-QQ,1196,117,49,False,False,True,True,Challenger,Houston3001#9594,166,70.48
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1189,230,161,False,False,True,False,Challenger,tokyosniper#dump2,391,58.82
